stock,date,text,source,sentiment_score,sentiment_label,confidence
AMZN,2021-03-08 21:49:06.688468,"Amazon earnings, Fed commentary, mortgage rates: What to Watch",yahoo_finance,0.1779,positive,0.1779
CSEALL,2021-03-09 21:54:32.034855,"IFC and Colombo Stock Exchange Ring the Bell to Accelerate Women’s Business Leadership in Sri Lanka, Lauds Increased Board Representation - International Finance Corporation (IFC)",google_news,0.2732,positive,0.2732
AAPL,2021-03-10 21:45:39.070257,"The Newest Member of the $1 Trillion Club Has Soared 4,755,356% Since Its IPO, and It's Still a Buy Right Now, According to Wall Street (Hint: Not a Tech Stock)",yahoo_finance,0.0,neutral,0.0
GOOGL,2021-03-19 21:46:03.680714,"Stock market today: S&P 500, Nasdaq fall for 2nd day as tech slides on AI worries with Google earnings ahead",yahoo_finance,-0.4215,negative,0.4215
MSFT,2021-03-20 21:50:56.690852,"Drop in Microsoft's stock is a buying opportunity, analyst says",yahoo_finance,0.1779,positive,0.1779
AMZN,2021-03-22 21:49:06.689588,Argus Quick Note: Weekly Stock List for 01/05/2026: Argus' Most-Followed Stocks in 2025,yahoo_finance,0.0,neutral,0.0
CSEALL,2021-03-28 21:54:32.032719,Most active penny stocks,yahoo_finance,0.4576,positive,0.4576
GOOGL,2021-04-03 21:46:03.683146,Google operates 'from a position of strength': Earnings takeaways,yahoo_finance,0.4939,positive,0.4939
AAPL,2021-04-05 21:45:39.069800,Alphabet stock sinks after Google parent announces $180 billion spending plan for 2026 in massive AI bet,yahoo_finance,0.0,neutral,0.0
MSFT,2021-04-05 21:50:56.690899,Microsoft: The 'question' the company needs to answer,yahoo_finance,0.0,neutral,0.0
MSFT,2021-04-05 21:50:56.691121,Research Reports: MSFT,yahoo_finance,0.0,neutral,0.0
MSFT,2021-04-15 21:50:56.691828,Microsoft: Rampant Selloff Case Of Market Disconnect And Irrational 'SaaSapocalypse' Fears - Seeking Alpha,google_news,-0.6369,negative,0.6369
GOOGL,2021-04-20 21:46:03.682657,What keeps Google's CEO up at night,yahoo_finance,0.0,neutral,0.0
TSLA,2021-04-21 21:47:07.383870,Tesla Makes China Comeback,yahoo_finance,0.0,neutral,0.0
AAPL,2021-04-24 21:45:39.072576,Will Apple's Explosive Growth Continue? This Often Overlooked Figure Answers the Question. - The Motley Fool,google_news,-0.1027,negative,0.1027
MSFT,2021-04-29 21:50:56.694310,"After Earnings, Is Microsoft Stock a Buy, a Sell, or Fairly Valued? - Morningstar",google_news,0.4404,positive,0.4404
CSEALL,2021-05-03 21:54:32.033714,Colombo Stock Exchange goes live with CCP in Sri Lanka - Securities Finance Times,google_news,0.296,positive,0.296
AAPL,2021-05-08 21:45:39.072186,Apple Earnings: Prolific Quarter Portends Terrific 2026 Growth,yahoo_finance,0.6908,positive,0.6908
CSEALL,2021-05-08 21:54:32.033364,Colombo Bourse Halts Trading on Unusual Prices in Debutant Stock - Bloomberg,google_news,0.0,neutral,0.0
CSEALL,2021-05-08 21:54:32.038001,Sri Lanka CSE cancels all morning deals on Wealth Trust error trade - EconomyNext,google_news,0.4404,positive,0.4404
AAPL,2021-05-15 21:45:39.071840,Company Insights: AAPL,yahoo_finance,0.0,neutral,0.0
MSFT,2021-05-16 21:50:56.690974,Performance Overview: MSFT,yahoo_finance,0.0,neutral,0.0
GOOGL,2021-05-20 21:46:03.687700,Google Earnings: What The Buy Side Expects From Cloud Computing Business - Investor's Business Daily,google_news,0.0,neutral,0.0
INFY.NS,2021-05-21 21:53:27.320127,"Infosys and Wipro ADRs crash 3%-5%, Expert predicts trillion dollar wipeout - The Financial Express",google_news,-0.4019,negative,0.4019
AAPL,2021-05-29 21:45:39.068776,Most active penny stocks,yahoo_finance,0.4576,positive,0.4576
CSEALL,2021-06-02 21:54:32.036787,"Sri Lanka stocks close up, pushed by positive results - EconomyNext",google_news,0.5574,positive,0.5574
GOOGL,2021-06-07 21:46:03.678674,Market Domination Overtime,yahoo_finance,-0.0516,negative,0.0516
TSLA,2021-06-11 21:47:07.380756,Stocks in Translation,yahoo_finance,0.0,neutral,0.0
TSLA,2021-06-12 21:47:07.388388,"Triglav Investments D.O.O. Purchases 2,520 Shares of Tesla, Inc. $TSLA - MarketBeat",google_news,0.296,positive,0.296
GOOGL,2021-06-16 21:46:03.679696,"Stock market today: Dow, S&P 500, Nasdaq futures mixed after Wall Street's tech sell-off deepens",yahoo_finance,0.0,neutral,0.0
MSFT,2021-06-29 21:50:56.693040,"With Shares Down 10% After Its Earnings Call, Is Microsoft a Buy? - The Motley Fool",google_news,-0.1779,negative,0.1779
MSFT,2021-07-06 21:50:56.689228,AMD stock plummets despite Q4 earnings beat,yahoo_finance,0.0,neutral,0.0
GOOGL,2021-07-08 21:46:03.683842,Global Stocks Were Leaders in 2025,yahoo_finance,0.0,neutral,0.0
TSLA,2021-07-13 21:47:07.387295,Tesla stock drops nearly 4% as Volkswagen takes Europe EV crown and tech selloff bites - TechStock²,google_news,0.0,neutral,0.0
GOOGL,2021-07-16 21:46:03.678778,Stocks in Translation,yahoo_finance,0.0,neutral,0.0
AAPL,2021-07-17 21:45:39.070709,Apple Becomes Apple Again,yahoo_finance,0.0,neutral,0.0
AMZN,2021-07-21 21:49:06.686801,"Stock market today: S&P 500, Nasdaq fall for 2nd day as tech slides on AI worries with Google earnings ahead",yahoo_finance,-0.4215,negative,0.4215
TSLA,2021-07-23 21:47:07.384564,Earnings Trends: TSLA,yahoo_finance,0.0,neutral,0.0
MSFT,2021-07-24 21:50:56.693414,Microsoft stock is flat the day after sinking 10%. Here's why - CNBC,google_news,0.0,neutral,0.0
GOOGL,2021-07-31 21:46:03.687887,Google to Double Spending as Earnings Beat Wall Street Expectations - The Wall Street Journal,google_news,0.0,neutral,0.0
AAPL,2021-08-05 21:45:39.075354,Apple stock rises as it bucks tech selloff amid AI disruption fears - Investing.com,google_news,-0.6486,negative,0.6486
INFY.NS,2021-08-13 21:53:27.316891,"Infosys shares post worst day in six years! Market cap plunges by ₹56,000 crore; here is why - Upstox",google_news,-0.4926,negative,0.4926
TSLA,2021-08-17 21:47:07.381446,Electric car market goes into reverse amid pay-per-mile tax threat,yahoo_finance,-0.5267,negative,0.5267
MSFT,2021-08-22 21:50:56.692307,Shorting Microsoft Puts Looks Very Attractive to Value Investors in MSFT Stock - Barchart.com,google_news,0.7056,positive,0.7056
INFY.NS,2021-08-26 21:53:27.319812,Infosys Stock (+10%): Up-Revised Guidance & AI Narrative Fuel Rally - Trefis,google_news,0.0,neutral,0.0
MSFT,2021-09-02 21:50:56.687534,Most active penny stocks,yahoo_finance,0.4576,positive,0.4576
GOOGL,2021-09-12 21:46:03.688656,Google earnings preview: What this analyst expects from Gemini - Yahoo Finance,google_news,0.0,neutral,0.0
CSEALL,2021-09-16 21:54:32.037648,"IFC, Colombo Stock Exchange and Global Partners Ring the Bell for Gender Equality, Signaling the Urgent Need to Increase Women’s Corporate Leadership in Sri Lanka - International Finance Corporation (IFC)",google_news,0.4767,positive,0.4767
MSFT,2021-09-17 21:50:56.688886,Stocks in Translation,yahoo_finance,0.0,neutral,0.0
GOOGL,2021-09-23 21:46:03.687037,"Stock market today: S&P 500, Nasdaq fall for 2nd day as tech slides on AI worries with Google earnings ahead - Yahoo Finance",google_news,-0.4215,negative,0.4215
TSLA,2021-09-23 21:47:07.385541,"After Earnings, Is Tesla Stock a Buy, a Sell, or Fairly Valued? - Morningstar",google_news,0.4404,positive,0.4404
AMZN,2021-09-30 21:49:06.688663,Earnings Trends: AMZN,yahoo_finance,0.0,neutral,0.0
MSFT,2021-10-07 21:50:56.689630,"Microsoft downgraded, Snap upgraded: Wall Street's top analyst calls",yahoo_finance,0.2023,positive,0.2023
TSLA,2021-10-11 21:47:07.387679,"SpaceX and xAI Will Merge, but We Don’t Rule Out Eventual Consolidation with Tesla - Morningstar Canada",google_news,0.0,neutral,0.0
GOOGL,2021-10-13 21:46:03.686540,Alphabet's earnings feature big cloud growth and big spending. What Wall Street has to say. - MarketWatch,google_news,0.3818,positive,0.3818
GOOGL,2021-10-17 21:46:03.679971,What Google's CEO thinks of the future for software companies,yahoo_finance,0.0,neutral,0.0
TSLA,2021-10-19 21:47:07.385818,Tesla Profit Forecasts Slashed Amid Musk's Spending Spree - Investor's Business Daily,google_news,0.25,positive,0.25
AAPL,2021-10-21 21:45:39.069194,Market Domination Overtime,yahoo_finance,-0.0516,negative,0.0516
AMZN,2021-11-13 21:49:06.685573,"Earnings live: Qualcomm stock dives as memory chip shortage weighs on outlook, Alphabet slides, Peloton falls",yahoo_finance,-0.25,negative,0.25
AAPL,2021-11-19 21:45:39.072854,Apple Stock Could Surge to $300: Here’s What Needs to Happen - 24/7 Wall St.,google_news,0.0,neutral,0.0
AMZN,2021-11-21 21:49:06.688612,Performance Overview: AMZN,yahoo_finance,0.0,neutral,0.0
AAPL,2021-11-22 21:45:39.069249,Stocks in Translation,yahoo_finance,0.0,neutral,0.0
TSLA,2021-11-29 21:47:07.387584,ChatGPT Thinks Tesla Stock Will Close At This Price In The Next 60 Days - Yahoo Finance,google_news,0.0,neutral,0.0
AAPL,2021-12-01 21:45:39.071335,Apple: Could the memory chip shortage raise iPhone prices?,yahoo_finance,-0.25,negative,0.25
AAPL,2021-12-02 21:45:39.076175,Is It Time to Take a Bite Out of Apple's Stock as Revenue Growth Accelerates? - The Motley Fool,google_news,-0.0772,negative,0.0772
AAPL,2021-12-05 21:45:39.071878,Research Reports: AAPL,yahoo_finance,0.0,neutral,0.0
INFY.NS,2021-12-09 21:53:27.317584,"Anthropic’s new AI tool sends shivers through the tech world, Infosys, TCS shares fall sharply - The Indian Express",google_news,0.296,positive,0.296
GOOGL,2021-12-11 21:46:03.681141,Stocks in retreat as traders reconsider tech investment,yahoo_finance,0.2023,positive,0.2023
TSLA,2021-12-11 21:47:07.384533,Performance Overview: TSLA,yahoo_finance,0.0,neutral,0.0
INFY.NS,2021-12-17 21:53:27.318488,"Infosys, Wipro, TCS and other IT stocks tumble up to 8%. Here’s why - The Economic Times",google_news,0.0,neutral,0.0
AAPL,2021-12-29 21:45:39.069976,Is Applied Optoelectronics (AAOI) Outperforming Other Computer and Technology Stocks This Year?,yahoo_finance,0.0,neutral,0.0
AAPL,2021-12-30 21:45:39.074827,"Stock Market Today, Feb. 2: Apple Stock Jumps After Record Q1 Revenue Boosts Investor Confidence - The Motley Fool",google_news,0.4019,positive,0.4019
AAPL,2022-01-05 21:45:39.072782,Apple: The Pros And Cons Of Investing Right Now - Downgrading To Hold - Seeking Alpha,google_news,0.0,neutral,0.0
